video_id,Like,No like,From 1 from 10,From 11 to 100,From 101 to 1K,More than 1K
--QFnhNEluA,73,61,72,1,0,0
--iWFvlaLXM,18,43,16,2,0,0
-1RLAmi8VV4,1,1,1,0,0,0
-1XRms-iPbY,15,25,14,1,0,0
-2Q7iavjHSI,210,244,201,9,0,0
-2Zph913hnA,3,3,3,0,0,0
-2iWIjPQH1Y,8,2,7,1,0,0
-2k8NS1QXac,1,1,1,0,0,0
-2sp5E9sZ_E,4,3,4,0,0,0
-3F4au3vlt4,27,23,27,0,0,0
-3ZHgKL_Mc4,322,1198,269,48,4,1
-4-7YYVrmbI,12,8,7,5,0,0
-4n-T4ILzsI,176,43,158,18,0,0
-5o1ygVVlQQ,9,6,9,0,0,0
-5sBUKNxp3M,2,1,2,0,0,0
-6BPCt1t01U,1,0,1,0,0,0
-6ezNWUxV3k,101,300,92,9,0,0
-6iUt7Frkn8,47,23,46,1,0,0
-6jdmnNau4g,171,375,144,23,4,0
-6sWJeC-ois,1,6,1,0,0,0
-7LSYJo1Kwg,6,1,6,0,0,0
-7Pu-F8PmFs,1,3,1,0,0,0
-8vJsAbjxJI,137,239,116,18,3,0
-9FQk0lDqGU,24,46,22,2,0,0
-APCNTcSRa8,69,188,60,7,2,0
-AomBRCsYC4,19,1,19,0,0,0
-B42Ra6EYvU,35,183,34,1,0,0
-BH7I6z_Aic,19,41,18,1,0,0
-BOh3SftlK4,28,22,27,1,0,0
-BeG8Hm81ks,1,1,1,0,0,0
-BrnHIi2UM0,79,540,71,8,0,0
-BxQQSi2GyY,1,2,1,0,0,0
-C-7guVJQ0Y,162,518,148,11,3,0
-C6FGiotjBw,1,6,1,0,0,0
-CmGO320NQY,76,317,71,4,1,0
-DNGVeGhPoA,105,277,90,13,2,0
-EOMMWAlC2Q,57,101,46,11,0,0
-Ea06rPUCS0,2,2,2,0,0,0
-EeQ8Lu_Nlw,4,0,4,0,0,0
-Fe9-4e08Os,118,6,118,0,0,0
-Ft0EYpdYEk,121,343,99,21,1,0
-GDNxK6n6dU,277,1303,230,38,9,0
-GlACYas6E0,3,7,3,0,0,0
-GxsoQ8ahl0,19,21,19,0,0,0
-H8Tx1CAvfs,491,1089,346,108,33,4
-Hh18j1oZA0,2,1,2,0,0,0
-HhvlWdC72U,2,1,2,0,0,0
-I8bqkJSezw,1,1,1,0,0,0
-J-4RLg3_rQ,13,6,13,0,0,0
-J1elfokl_k,2,1,2,0,0,0
-JNVXLRWpU8,16,27,13,3,0,0
-JTOkuG-lU0,36,17,28,8,0,0
-JiCQQsUNl4,154,402,125,25,4,0
-KJNL8d5ZMY,2,5,2,0,0,0
-KylhtvkP4s,4,7,4,0,0,0
-MQ4kRZrw3M,7,10,7,0,0,0
-M_NMgfjW3c,90,83,88,2,0,0
-Mzu6fAN62Q,64,271,58,6,0,0
-N9w0qIkmgU,65,139,51,14,0,0
-NDVQ3p_RYg,4,29,4,0,0,0
-NMzvdSwJmk,395,1205,279,98,18,0
-NqNOV4Ex8g,2,9,2,0,0,0
-OiuVKo0_R8,103,38,99,4,0,0
-OmP0-lxYag,82,85,79,3,0,0
-PEBh3Syczo,166,1007,148,18,0,0
-PU5vcbeI9k,2,0,2,0,0,0
-QA9M5ldtmA,258,768,212,38,8,0
-QWMcW3imsY,66,129,64,2,0,0
-QWzPsn6Aow,207,753,175,25,7,0
-ROiTdz5ZWc,70,98,68,2,0,0
-RSbftiA0yw,8,7,8,0,0,0
-RYDR0AXwkA,52,70,49,3,0,0
-SqRAs5fJ1s,123,331,96,22,5,0
-SsEiD6GYyQ,25,30,24,1,0,0
-SzJoi37dbc,96,502,85,11,0,0
-T12rB6BDgE,5,2,5,0,0,0
-U6ug3TQieg,134,3,134,0,0,0
-VfFP4zpkZo,29,51,24,4,1,0
-WUmu1DHDvI,24,45,24,0,0,0
-WjNcqFMQT0,27,104,27,0,0,0
-WmH5m9T6Xc,1,7,1,0,0,0
-WwMGhWtJGU,0,6,0,0,0,0
-X0dsQR_vrY,79,349,77,2,0,0
-X1gwfzHfKw,40,168,38,2,0,0
-XglFgtjeeY,1,15,1,0,0,0
-Xn8gWSgj5g,92,368,70,18,4,0
-Xz_1bsu070,29,287,27,2,0,0
-Z663gx9ESQ,101,644,87,14,0,0
-_2PqbRFAAw,143,850,137,6,0,0
-_QnqjzC87w,0,1,0,0,0,0
-_sziBqeJS4,499,1101,329,111,57,2
-aJVrBwWbbk,0,2,0,0,0,0
-aOx-vPy-j0,40,58,37,3,0,0
-aZcciuCsYw,66,14,66,0,0,0
-bMt5i13jqE,31,10,31,0,0,0
-boMvPHRZmc,281,536,218,60,3,0
-byed7ycaas,2,3,2,0,0,0
-c7lWrH9hMk,1,4,1,0,0,0
-c_xLS_RKCs,36,20,35,1,0,0
-cchgvDTR_k,5,0,5,0,0,0
-dHo-apLsh8,25,13,25,0,0,0
-eGhUnjVZWk,4,3,4,0,0,0
-eU08omf_a4,4,12,4,0,0,0
-ecdMCse8So,142,507,126,16,0,0
-fDSSbCnvQk,223,1266,196,24,3,0
-fQyMk_aSGo,14,3,14,0,0,0
-fYudPSIaJI,13,52,12,1,0,0
-fxe2rAc4pI,4,5,4,0,0,0
-g8CbvhumMs,21,36,21,0,0,0
-go_GTQ7Dvw,39,33,39,0,0,0
-gw2F1X8FWU,129,278,116,10,3,0
-h0-WmOZpPU,1,3,1,0,0,0
-h01EiWviW4,195,1181,168,24,3,0
-hM-iNKaaH0,31,19,31,0,0,0
-hgGZBBDiKk,132,837,118,12,2,0
-iOsSvODB18,116,64,108,8,0,0
-iWouB8yII0,14,5,14,0,0,0
-j6omp1IkuU,21,20,21,0,0,0
-jCIf0pzxzk,132,78,122,10,0,0
-jCMbq0pOts,611,989,404,171,33,3
-jWA3nyhX7w,490,125,472,18,0,0
-jxFBK-B5OM,97,1074,80,16,1,0
-kHN-LqUxfU,1,0,1,0,0,0
-kT42WKYG0Q,5,0,5,0,0,0
-kdILICOJAU,59,31,57,2,0,0
-lVYaN7_HD8,38,68,37,1,0,0
-mE2zmiqfgE,19,34,18,1,0,0
-mPdverrlT8,135,272,125,10,0,0
-n1LANc-TfM,1,0,1,0,0,0
-nGDtEqEktg,5,14,5,0,0,0
-nKaT8Egj9A,10,3,10,0,0,0
-nPmYWeytUA,28,32,27,1,0,0
-nZ8w3xR5BI,11,49,11,0,0,0
-nckLMUVI0U,2,3,2,0,0,0
-nn6kIEI1xI,2,1,2,0,0,0
-pTNH9bwrAI,7,3,7,0,0,0
-pcvKf3vGzk,87,421,78,7,2,0
-pq4NuJMfrc,287,706,261,25,1,0
-q5qSn1wTc8,62,38,48,14,0,0
-qPM8mKOdW0,23,6,22,1,0,0
-qfOHn6aJdQ,2,3,2,0,0,0
-qp7Uc5cakM,235,138,206,26,3,0
-r4cobGXmJw,0,1,0,0,0,0
-s5xMZLn_ns,134,342,119,15,0,0
-sGjNLAeqhQ,1,5,1,0,0,0
-sHntQ2sE-w,73,47,73,0,0,0
-sLYhuO6GIE,5,1,5,0,0,0
-sb2034Vev8,180,242,147,33,0,0
-sbunj6MkxM,119,341,112,7,0,0
-tBI2mG2TfU,14,96,12,2,0,0
-tg43gTniMQ,0,3,0,0,0,0
-u4Wp-5VvcY,129,72,121,8,0,0
-uHmpxr7ZrM,25,55,23,2,0,0
-u_5ivtXiEc,1,7,1,0,0,0
-usn-kj8Y80,39,75,35,4,0,0
-uv5YfXY4h4,1,3,1,0,0,0
-veYY_RlNyo,5,11,5,0,0,0
-wBaYva07ns,221,696,203,15,3,0
-wKMeSJsE4k,88,67,86,2,0,0
-wYlKObjPOo,167,168,132,33,2,0
-wieyR5NwpY,5,7,5,0,0,0
-wxgrTc_IPI,8,25,7,1,0,0
-x4GPrApaRM,77,68,75,2,0,0
-xUIeEajJ3M,33,7,30,3,0,0
-yWsQAIz9M0,70,42,69,1,0,0
-zZIVAkcxKU,13,27,12,1,0,0
003xTuVm0hk,61,72,61,0,0,0
00jjSp0rgPE,410,1170,319,67,22,2
015DqDkdSmU,48,55,46,2,0,0
01PEDc2PBx0,185,1375,156,22,7,0
01WKHqerF1I,114,34,107,7,0,0
01r1lXK8r8w,107,13,105,2,0,0
02dCIlaRfN4,7,1,7,0,0,0
02t0F5U009Q,3,20,3,0,0,0
03ZXpGBVYno,1,10,1,0,0,0
049V8U3oDN8,1,2,1,0,0,0
04oD_gdlusA,18,2,18,0,0,0
068MgiLlUPo,5,8,5,0,0,0
07bxSlkxj54,4,2,4,0,0,0
07whk7FVHYs,107,653,87,17,3,0
080VudSrWds,0,3,0,0,0,0
08Lk84zGXNk,137,306,116,21,0,0
08xesAkztMM,86,480,81,5,0,0
094Zx20OWs8,89,129,81,8,0,0
