channel_id,MONTH(upload_date),YEAR(upload_date),q_score,likes_rate,comments_rate,SKEW(comments.likes),NUM_UNIQUE(comments.username),upload_date
UCJtEP0GoT7Xndn3LZKrgVxA,2,2017,0.445927451,1.112400927,0.126633415,2.998763292,10.75,2017-02-01
UCTZfshAstC5XukpE3OY62Jg,2,2017,0.554204568,1.30428201,0.148692182,2.991625207,20,2017-02-01
UC7ZcCX4PLJd6VnNVQ4hn1pA,2,2017,0.543411732,1.578877394,0.184170945,1.549679835,7.5,2017-02-01
UCM7FTcrsCU2NpQ7ywJ3vemw,2,2017,0.861770467,5.99192862,0.628110515,5.696975052,107,2017-02-01
UCM7FTcrsCU2NpQ7ywJ3vemw,3,2017,0.858996387,6.55624487,0.521080806,4.529031396,64.8,2017-03-01
UCTZfshAstC5XukpE3OY62Jg,3,2017,0.500882806,1.271303188,0.136824485,2.755500112,26.85714286,2017-03-01
UCb7KjBkHa1kUqJYIiZLiBuA,3,2017,0.35970916,0.979477955,0.0839163,3.100844093,37.14285714,2017-03-01
UC7ZcCX4PLJd6VnNVQ4hn1pA,3,2017,0.537156687,4.03730003,1.317168211,0.904218637,29.69230769,2017-03-01
UCZOnKo2JsXRX5AGVLa9Jd9w,3,2017,0.671638791,1.804594867,0.181335115,7.310207273,359.5,2017-03-01
UCJtEP0GoT7Xndn3LZKrgVxA,3,2017,0.455519559,1.42200902,0.129464752,1.668905811,17.125,2017-03-01
UCTZfshAstC5XukpE3OY62Jg,4,2017,0.47409665,1.236788502,0.142792382,4.721205632,55.5,2017-04-01
UCM7FTcrsCU2NpQ7ywJ3vemw,4,2017,0.843334266,5.498506038,0.53497955,5.232612316,106.2,2017-04-01
UC7ZcCX4PLJd6VnNVQ4hn1pA,4,2017,0.573137838,2.035093955,0.462281971,0.802315365,6.523809524,2017-04-01
UCJtEP0GoT7Xndn3LZKrgVxA,4,2017,0.565699515,1.803580739,0.270724161,1.247227594,10.75,2017-04-01
UCZOnKo2JsXRX5AGVLa9Jd9w,4,2017,0.640218471,1.599651323,0.130753771,4.746391624,162,2017-04-01
UCb7KjBkHa1kUqJYIiZLiBuA,4,2017,0.298616995,0.960330468,0.079406801,3.568849455,34.85714286,2017-04-01
UC0jDoh3tVXCaqJ6oTve8ebA,4,2017,0.918999638,7.596477756,0.521307028,6.497699818,522.5,2017-04-01
UCM7FTcrsCU2NpQ7ywJ3vemw,5,2017,0.857557032,6.240028141,0.870556813,5.867387097,118,2017-05-01
UCZOnKo2JsXRX5AGVLa9Jd9w,5,2017,0.660398193,1.880486054,0.190445964,4.771258228,75.5,2017-05-01
UCJtEP0GoT7Xndn3LZKrgVxA,5,2017,0.449418296,1.373424647,0.149312693,3.347328503,56.8,2017-05-01
UCb7KjBkHa1kUqJYIiZLiBuA,5,2017,0.43284354,1.247586266,0.081474335,4.019492271,99.57142857,2017-05-01
UC0jDoh3tVXCaqJ6oTve8ebA,5,2017,0.878088417,7.018343805,0.334938186,7.993348241,331.5,2017-05-01
UC7ZcCX4PLJd6VnNVQ4hn1pA,5,2017,0.524620561,1.892377749,0.241722528,3.623457531,41.90909091,2017-05-01
UCTZfshAstC5XukpE3OY62Jg,5,2017,0.479248537,1.305264355,0.122928748,3.212496567,30.42857143,2017-05-01
UCZOnKo2JsXRX5AGVLa9Jd9w,6,2017,0.780478388,3.283935495,0.518490699,6.950863416,147,2017-06-01
UCM7FTcrsCU2NpQ7ywJ3vemw,6,2017,0.851054418,5.474371356,0.644393942,4.748723555,108.5,2017-06-01
UCb7KjBkHa1kUqJYIiZLiBuA,6,2017,0.541356012,2.097558588,0.195931561,2.401211213,13.5,2017-06-01
UCJtEP0GoT7Xndn3LZKrgVxA,6,2017,0.553940347,1.572930085,0.19652474,4.647743484,73.66666667,2017-06-01
UC7ZcCX4PLJd6VnNVQ4hn1pA,6,2017,0.54598338,1.91846859,0.262832295,2.885537372,42.92307692,2017-06-01
UCTZfshAstC5XukpE3OY62Jg,6,2017,0.453660373,1.096639526,0.110303187,3.409741351,38.83333333,2017-06-01
UC0jDoh3tVXCaqJ6oTve8ebA,6,2017,0.891439372,6.736675369,0.242341192,8.728903855,454,2017-06-01
UC7ZcCX4PLJd6VnNVQ4hn1pA,7,2017,0.47413383,1.30541859,0.236291603,2.887047654,37.11111111,2017-07-01
UCTZfshAstC5XukpE3OY62Jg,7,2017,0.461528027,1.092647115,0.123838722,3.150755624,24.85714286,2017-07-01
UC0jDoh3tVXCaqJ6oTve8ebA,7,2017,0.890421595,6.008062343,0.377431492,7.196534155,351.6666667,2017-07-01
UCJtEP0GoT7Xndn3LZKrgVxA,7,2017,0.527675257,1.78052075,0.174806315,2.755735367,70.66666667,2017-07-01
UCb7KjBkHa1kUqJYIiZLiBuA,7,2017,0.639408032,2.400374391,0.204069327,1.509656399,11.75,2017-07-01
UCM7FTcrsCU2NpQ7ywJ3vemw,7,2017,0.872876039,6.296691684,0.866007313,6.692612363,170.5,2017-07-01
UCTZfshAstC5XukpE3OY62Jg,7,2017,0.461528027,1.092647115,0.123838722,3.150755624,24.85714286,2017-07-01
UC0jDoh3tVXCaqJ6oTve8ebA,7,2017,0.890421595,6.008062343,0.377431492,7.196534155,351.6666667,2017-07-01
UCJtEP0GoT7Xndn3LZKrgVxA,7,2017,0.527675257,1.78052075,0.174806315,2.755735367,70.66666667,2017-07-01
UCb7KjBkHa1kUqJYIiZLiBuA,7,2017,0.639408032,2.400374391,0.204069327,1.509656399,11.75,2017-07-01
UCM7FTcrsCU2NpQ7ywJ3vemw,7,2017,0.872876039,6.296691684,0.866007313,6.692612363,170.5,2017-07-01
UC7ZcCX4PLJd6VnNVQ4hn1pA,8,2017,0.399369124,1.148146278,0.197808942,4.093794037,33,2017-08-01
UCTZfshAstC5XukpE3OY62Jg,8,2017,0.477806756,1.193535556,0.124664035,2.601268996,34,2017-08-01
UCZOnKo2JsXRX5AGVLa9Jd9w,8,2017,0.820680864,5.402317057,0.200237053,5.686184448,124,2017-08-01
UC0jDoh3tVXCaqJ6oTve8ebA,8,2017,0.914235832,8.465525275,0.398388277,9.391130481,300,2017-08-01
UCM7FTcrsCU2NpQ7ywJ3vemw,8,2017,0.864096846,7.507486119,0.69987083,5.159623857,87,2017-08-01
UC7ZcCX4PLJd6VnNVQ4hn1pA,8,2017,0.399369124,1.148146278,0.197808942,4.093794037,33,2017-08-01
UCTZfshAstC5XukpE3OY62Jg,8,2017,0.477806756,1.193535556,0.124664035,2.601268996,34,2017-08-01
UCZOnKo2JsXRX5AGVLa9Jd9w,8,2017,0.820680864,5.402317057,0.200237053,5.686184448,124,2017-08-01
UC0jDoh3tVXCaqJ6oTve8ebA,8,2017,0.914235832,8.465525275,0.398388277,9.391130481,300,2017-08-01
UCM7FTcrsCU2NpQ7ywJ3vemw,8,2017,0.864096846,7.507486119,0.69987083,5.159623857,87,2017-08-01
UCZOnKo2JsXRX5AGVLa9Jd9w,9,2017,0.768813559,4.548225838,0.182307596,7.67999415,142,2017-09-01
UC7ZcCX4PLJd6VnNVQ4hn1pA,9,2017,0.494079051,1.266380543,0.464524897,3.423710719,27.33333333,2017-09-01
UCTZfshAstC5XukpE3OY62Jg,9,2017,0.467655834,1.094182388,0.157701619,2.01333488,18.42857143,2017-09-01
UC0jDoh3tVXCaqJ6oTve8ebA,9,2017,0.914908794,8.523238455,0.828371289,8.132170137,460.6666667,2017-09-01
UCb7KjBkHa1kUqJYIiZLiBuA,9,2017,0.455364455,1.490698244,0.424714703,2.848828396,15,2017-09-01
UCM7FTcrsCU2NpQ7ywJ3vemw,9,2017,0.874672145,7.95603708,0.545110335,3.08983112,41.33333333,2017-09-01
UCZOnKo2JsXRX5AGVLa9Jd9w,9,2017,0.768813559,4.548225838,0.182307596,7.67999415,142,2017-09-01
