id,DAY(upload_date),MONTH(upload_date),YEAR(upload_date),q_score,likes_rate,comments_rate,like_count,dislike_count,view_count,COUNT(comments),MEAN(comments.likes),SKEW(comments.likes),MIN(comments.likes),NUM_UNIQUE(comments.username),channel_id,username_channel
fe8xcBZS9EY,22,1,2017,0.642857143,3.217315004,0.292483182,11,2,3419,0,,,,,UCnkmn2G1SkujhpUdiYPKHRg,Vietnam Discovery
5mCGoOYFOKk,23,1,2017,0.5,2.501563477,0.625390869,4,1,1599,0,,,,,UCnkmn2G1SkujhpUdiYPKHRg,Vietnam Discovery
WFJpA515d-Q,24,1,2017,0.85,7.675906183,0.852878465,18,1,2345,0,,,,,UCnkmn2G1SkujhpUdiYPKHRg,Vietnam Discovery
ue3nWimdO2U,24,1,2017,0.708333333,2.189621196,0.328443179,20,3,9134,0,,,,,UCnkmn2G1SkujhpUdiYPKHRg,Vietnam Discovery
GXb4gfD3nLk,25,1,2017,0.766666667,2.245444339,0.086363244,26,3,11579,0,,,,,UCnkmn2G1SkujhpUdiYPKHRg,Vietnam Discovery
_giUx6VjKe8,25,1,2017,0.723404255,2.28375678,0.399657436,40,6,17515,0,,,,,UCnkmn2G1SkujhpUdiYPKHRg,Vietnam Discovery
rm1D-OcMivw,25,1,2017,0.4,3.382187148,3.382187148,3,1,887,0,,,,,UCnkmn2G1SkujhpUdiYPKHRg,Vietnam Discovery
Z74bds7e580,26,1,2017,0.642201835,2.279771511,0.384231153,89,19,39039,0,,,,,UCnkmn2G1SkujhpUdiYPKHRg,Vietnam Discovery
aBCXOSWRuuc,26,1,2017,0.642857143,4.826678368,0.438788943,11,2,2279,0,,,,,UCnkmn2G1SkujhpUdiYPKHRg,Vietnam Discovery
A8Gwcbn4opQ,27,1,2017,0.728571429,3.678950273,0.183947514,60,9,16309,1,2,,2,1,UCnkmn2G1SkujhpUdiYPKHRg,Vietnam Discovery
hRygVt892ow,13,2,2017,0.48657188,5.385955262,5.191144114,470,162,87264,16,8.25,2.484543184,2,15,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
Km_9owhXWJY,19,2,2017,0.617592015,2.657943999,0.49345219,3889,919,1463161,13,33.69230769,2.749993509,2,12,UCNyaiKq1S8y3lC4Iktsi6fg,Quang Chau
IxchuaO_frY,21,2,2017,0.93139143,12.12027812,1.353748342,4011,142,330933,54,19.64814815,5.375707638,2,53,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
uLeivs0bIwQ,23,2,2017,0.925726884,9.70776663,0.732215975,6987,269,719733,42,24.95238095,3.650010958,2,40,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
_7RmqaLyulw,9,3,2017,0.959744169,9.935134874,0.858340719,7813,160,786401,102,10.89215686,7.600700127,2,98,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
cC3G0szDBhA,25,3,2017,0.953037616,10.99426221,0.694365376,12746,306,1159332,82,15.03658537,5.390232588,2,81,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
19FtJEBBu-Y,27,3,2017,0.943715024,9.32907137,0.732481905,9030,261,967942,39,22.12820513,3.181871205,2,37,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
k1OAGmoqRP8,29,3,2017,0.971930681,11.79969442,0.952389299,4039,57,342297,37,11.37837838,4.733316532,2,34,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
eUBUY8sMNyE,1,4,2017,0.96179897,9.389306047,0.609526774,3620,70,385545,24,12.20833333,4.253414513,2,23,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
N9iLohJsq2w,11,4,2017,0.965083304,11.09798582,0.862931967,5543,98,499460,54,6.722222222,6.211012167,2,53,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
3EJVgrejO3M,18,4,2017,0.965120664,11.1751372,0.973615868,5211,92,466303,42,13.42857143,3.386546683,2,40,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
PVbfD9AxTXI,5,5,2017,0.956724825,13.15111501,1.043446142,7121,157,541475,61,16.45901639,7.179148154,2,60,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
JnPnlJ9DxEI,6,5,2017,0.818018018,4.685538976,1.961604611,504,50,107565,16,3.3125,3.081374064,2,15,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
petlNtFMU0M,7,5,2017,0.773897059,3.310780644,1.9644881,482,61,145585,15,4.133333333,3.512710191,2,15,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
dRA9DhCCZGk,8,5,2017,0.802259887,4.306849513,1.612816031,478,52,110986,8,3.875,0.749067093,2,8,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
36bGUyjn6FQ,10,5,2017,0.673543689,3.017800203,1.528609972,689,134,228312,21,5.714285714,2.090965418,2,21,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
RwtqeQy5ZT0,12,5,2017,0.693296089,3.008465405,0.74665544,1515,274,503579,24,5.5,2.757265219,2,23,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
uWvt24Yz1uI,15,5,2017,0.694690265,6.225554107,2.477183833,191,34,30680,2,5,,3,2,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
CoqAUvcNuG8,19,5,2017,0.674623116,3.94549763,0.787914692,666,129,168800,8,4.625,1.760298821,2,6,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
uqV7-J6D1T8,26,5,2017,0.948507828,9.888084021,0.66541281,7965,210,805515,45,13.22222222,4.200032408,2,43,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
icgsSl5g8Jk,27,5,2017,0.677509815,2.911573847,0.944557402,1495,287,513468,28,4,4.724556711,2,28,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
8MzP-J1OfQA,31,5,2017,0.813141684,5.898008586,1.631648634,441,45,74771,11,4.636363636,2.318449952,2,11,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
3VhfOmCLOTs,2,6,2017,0.928180891,8.977359415,0.743007446,10403,387,1158804,41,33,3.705475329,2,39,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
YwsdqDaqznU,6,6,2017,0.806490385,7.289917394,2.33937429,751,80,103019,15,5.333333333,2.052723503,2,14,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
B4OF5RRlFag,9,6,2017,0.951771233,9.669115781,0.676654844,6859,169,709372,42,16.35714286,3.64346194,2,40,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
U3PKVy6qsik,24,6,2017,0.964615653,14.93934124,1.118793612,5635,101,377192,39,15.33333333,4.131652542,2,38,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
JV-QEoOvOc4,30,6,2017,0.955736403,11.21852902,0.835810018,4926,111,439095,34,9.058823529,5.371904398,2,32,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
U0IsYidPD7k,7,7,2017,0.96059216,11.55672901,0.968592051,4701,94,406776,42,10.73809524,2.519084377,2,42,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
im3Xb5Q_CKE,14,7,2017,0.955414013,10.28911941,0.650379602,7214,164,701129,43,13.27906977,3.910541177,2,40,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
FrASNtrWmcw,20,7,2017,0.940471454,10.33100084,0.706420376,19509,598,1888394,83,24.63855422,5.799761356,2,80,UCZE88kYvCKUKjM-G0uc8Duw,Khoai Lang Thang / Food and Travel
JwI73DzdPyo,24,7,2017,0.919753086,16.73866091,5.291576674,155,6,9260,3,5,0,4,2,UCxa35ypw3h6pezfr3RPhYKg,Hương Sơn Green
